strain	date	virus	region	country	host	isolate_id	submitting_lab	originating_lab
A/Fiji/277/2023	2023-11-13	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18852998	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Victoria/3239/2023	2023-11-21	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18852999	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
A/Fiji/242/2023	2023-10-02	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18853000	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Victoria/3240/2023	2023-11-23	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18853001	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
A/Fiji/245/2023	2023-10-18	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18853002	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Brisbane/587/2023	2023-12-07	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18853003	WHO Collaborating Centre for Reference and Research on Influenza	Institute of Medical and Veterinary Science (IMVS)
A/Fiji/255/2023	2023-11-01	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18853004	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Perth/604/2023	2023-09-10	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18853005	WHO Collaborating Centre for Reference and Research on Influenza	Pathwest QE II Medical Centre
A/Fiji/261/2023	2023-11-20	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18853006	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Perth/534A/2023	2023-09-27	h3n2_flu	Oceania	Australia	Human	EPI_ISL_18853007	WHO Collaborating Centre for Reference and Research on Influenza	Pathwest QE II Medical Centre
A/Fiji/256/2023	2023-11-13	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18853008	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Fiji/273/2023	2023-11-03	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18853010	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
A/Fiji/257/2023	2023-11-13	h3n2_flu	Oceania	Fiji	Human	EPI_ISL_18853012	WHO Collaborating Centre for Reference and Research on Influenza	National Centre for Scientific Services for Virology  and Vector Borne Diseases
